prior_name,base_model,dc_solution,comparison,rating,n_observed,observed_proportion,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95,absolute_difference
regularizing,gemma3,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,3,30,0.26666666666666666,0.16666666666666666,0.03333333333333333,0.4,TRUE,0.1
regularizing,gemma3,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,4,30,0.7333333333333333,0.8333333333333334,0.6,0.9666666666666667,TRUE,0.10000000000000009
regularizing,gemma3,Smart and sustainable DC cables,ANCHOR_NUM_LOW,3,30,0.8666666666666667,0.6666666666666666,0.43333333333333335,0.8666666666666667,TRUE,0.20000000000000007
regularizing,gemma3,Smart and sustainable DC cables,ANCHOR_NUM_LOW,4,30,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.5666666666666667,TRUE,0.19999999999999998
regularizing,gemma3,Solid-state circuit breaker,CONTEXT,3,150,0,0,0,0.02,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,CONTEXT,4,150,1,1,0.98,1,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,ANCHOR_EXAMPLE,3,30,0,0,0,0.06666666666666667,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,ANCHOR_EXAMPLE,4,30,1,1,0.9333333333333333,1,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,ANCHOR_WORD,3,30,0,0,0,0.03333333333333333,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,ANCHOR_WORD,4,30,1,1,0.9666666666666667,1,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,ANCHOR_NUM_HIGH,3,30,0,0,0,0.03333333333333333,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,ANCHOR_NUM_HIGH,4,30,1,1,0.9666666666666667,1,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,ANCHOR_NUM_LOW,3,30,0,0,0,0.03333333333333333,TRUE,0
regularizing,gemma3,Solid-state circuit breaker,ANCHOR_NUM_LOW,4,30,1,1,0.9666666666666667,1,TRUE,0
regularizing,gemma3,Static protection system,CONTEXT,3,150,0,0,0,0.02666666666666667,TRUE,0
regularizing,gemma3,Static protection system,CONTEXT,4,150,1,1,0.9733333333333334,1,TRUE,0
regularizing,gemma3,Static protection system,ANCHOR_EXAMPLE,3,30,0,0,0,0.06666666666666667,TRUE,0
regularizing,gemma3,Static protection system,ANCHOR_EXAMPLE,4,30,1,1,0.9333333333333333,1,TRUE,0
regularizing,gemma3,Static protection system,ANCHOR_WORD,3,30,0,0,0,0.03333333333333333,TRUE,0
regularizing,gemma3,Static protection system,ANCHOR_WORD,4,30,1,1,0.9666666666666667,1,TRUE,0
regularizing,gemma3,Static protection system,ANCHOR_NUM_HIGH,3,30,0,0,0,0.03333333333333333,TRUE,0
regularizing,gemma3,Static protection system,ANCHOR_NUM_HIGH,4,30,1,1,0.9666666666666667,1,TRUE,0
regularizing,gemma3,Static protection system,ANCHOR_NUM_LOW,3,30,0,0,0,0.03333333333333333,TRUE,0
regularizing,gemma3,Static protection system,ANCHOR_NUM_LOW,4,30,1,1,0.9666666666666667,1,TRUE,0
regularizing,llama,DC connectors,CONTEXT,3,150,0.66,0.6933333333333334,0.5866666666666667,0.7933333333333333,TRUE,0.033333333333333326
regularizing,llama,DC connectors,CONTEXT,4,150,0.34,0.30666666666666664,0.20666666666666667,0.41333333333333333,TRUE,0.03333333333333338
regularizing,llama,DC connectors,ANCHOR_EXAMPLE,3,30,0.9666666666666667,0.9,0.7333333333333333,1,TRUE,0.06666666666666665
regularizing,llama,DC connectors,ANCHOR_EXAMPLE,4,30,0.03333333333333333,0.1,0,0.26666666666666666,TRUE,0.06666666666666668
regularizing,llama,DC connectors,ANCHOR_WORD,3,30,0.8333333333333334,0.8,0.6,0.9666666666666667,TRUE,0.033333333333333326
regularizing,llama,DC connectors,ANCHOR_WORD,4,30,0.16666666666666666,0.2,0.03333333333333333,0.4,TRUE,0.033333333333333354
regularizing,llama,DC connectors,ANCHOR_NUM_HIGH,3,30,0.7333333333333333,0.7333333333333333,0.5,0.9,TRUE,0
regularizing,llama,DC connectors,ANCHOR_NUM_HIGH,4,30,0.26666666666666666,0.26666666666666666,0.1,0.5,TRUE,0
regularizing,llama,DC connectors,ANCHOR_NUM_LOW,3,30,0.9,0.8666666666666667,0.6658333333333334,0.9666666666666667,TRUE,0.033333333333333326
regularizing,llama,DC connectors,ANCHOR_NUM_LOW,4,30,0.1,0.13333333333333333,0.03333333333333333,0.3341666666666659,TRUE,0.033333333333333326
regularizing,llama,DC measurement device,CONTEXT,3,150,0.92,0.9266666666666666,0.8666666666666667,0.9733333333333334,TRUE,0.006666666666666599
regularizing,llama,DC measurement device,CONTEXT,4,150,0.08,0.07333333333333333,0.02666666666666667,0.13333333333333333,TRUE,0.006666666666666668
regularizing,llama,DC measurement device,ANCHOR_EXAMPLE,3,30,0.9666666666666667,0.9666666666666667,0.8333333333333334,1,TRUE,0
regularizing,llama,DC measurement device,ANCHOR_EXAMPLE,4,30,0.03333333333333333,0.03333333333333333,0,0.16666666666666666,TRUE,0
regularizing,llama,DC measurement device,ANCHOR_WORD,3,30,0.9666666666666667,0.9666666666666667,0.8333333333333334,1,TRUE,0
regularizing,llama,DC measurement device,ANCHOR_WORD,4,30,0.03333333333333333,0.03333333333333333,0,0.16666666666666666,TRUE,0
regularizing,llama,DC measurement device,ANCHOR_NUM_HIGH,3,30,0.8666666666666667,0.9,0.7333333333333333,1,TRUE,0.033333333333333326
