base_family,arm,barrier_id,mean_pct,sd_rate,n_iter,ci95_pct
llama,example,11,5.666666666666667,0.04458311699497529,10,2.7632902199201177
llama,low-numeric,1,18.666666666666668,0.01721325931647742,10,1.0668888657455626
llama,low-numeric,2,10.666666666666666,0.04097575314352394,10,2.539703491977064
llama,low-numeric,3,18.333333333333336,0.02357022603955159,10,1.4608977452998628
llama,low-numeric,4,16.666666666666664,0.04157397096415491,10,2.5767814166389442
llama,low-numeric,5,9,0.041722185234485745,10,2.585967832288257
llama,low-numeric,6,8.333333333333332,0.039283710065919304,10,2.4348295754997706
llama,low-numeric,7,5,0.028327886186626582,10,1.7557805762961283
llama,low-numeric,8,2.6666666666666665,0.04097575314352394,10,2.539703491977064
llama,low-numeric,9,0.3333333333333333,0.010540925533894597,10,0.6533333333333332
llama,low-numeric,10,5.666666666666667,0.03162277660168379,10,1.9599999999999997
llama,low-numeric,11,4.666666666666667,0.04766135686561604,10,2.954081503761228
llama,high-numeric,1,18,0.02810913475705227,10,1.7422222222222226
llama,high-numeric,2,12.333333333333334,0.052234041215747366,10,3.237499416082696
llama,high-numeric,3,17.666666666666668,0.027442420078285495,10,1.700898818308561
llama,high-numeric,4,13.999999999999998,0.04097575314352394,10,2.539703491977064
llama,high-numeric,5,5.666666666666666,0.027442420078285488,10,1.70089881830856
llama,high-numeric,6,4.666666666666667,0.03220305943597653,10,1.9959663026918768
llama,high-numeric,7,5.666666666666667,0.04172218523448575,10,2.5859678322882576
llama,high-numeric,8,3,0.02918650119236377,10,1.8089980857021584
llama,high-numeric,9,1.3333333333333333,0.01721325931647741,10,1.066888865745562
llama,high-numeric,10,10.333333333333334,0.033147630867058436,10,2.0545114465367713
llama,high-numeric,11,7.333333333333333,0.04661372658534007,10,2.889148706265148
mistral,context,1,20,0,50,0
mistral,context,2,18.46666666666667,0.01929599960890935,50,0.5348578211907247
mistral,context,3,6.266666666666667,0.03905923172268548,50,1.0826666666666667
mistral,context,4,19.8,0.007996597916069846,50,0.22165438562470793
mistral,context,5,19.666666666666668,0.012140522651411398,50,0.3365181190433058
mistral,context,6,5.2,0.033779329239939426,50,0.9363152365641724
mistral,context,7,0.9333333333333332,0.016550616378078826,50,0.45875968049126165
mistral,context,8,0.6,0.012936264483053453,50,0.3585749572962395
mistral,context,9,1.2,0.019931856701387,50,0.5524828805794196
mistral,context,10,4.3999999999999995,0.04438544837230874,50,1.2303018599785447
mistral,context,11,3.4666666666666663,0.030831264869025994,50,0.8545990612887165
mistral,word,1,20,0,10,0
mistral,word,2,17.666666666666668,0.022498285257018438,10,1.3944581672631542
mistral,word,3,3.6666666666666665,0.02918650119236377,10,1.8089980857021584
mistral,word,4,18.666666666666668,0.03220305943597653,10,1.9959663026918768
mistral,word,5,18.333333333333336,0.02832788618662659,10,1.755780576296129
mistral,word,6,7.000000000000001,0.048304589153964794,10,2.993949454037815
mistral,word,7,2,0.023306863292670035,10,1.444574353132574
mistral,word,8,0.6666666666666666,0.01405456737852613,10,0.871111111111111
mistral,word,9,2,0.023306863292670035,10,1.444574353132574
mistral,word,10,5.333333333333333,0.028109134757052262,10,1.7422222222222221
mistral,word,11,4.666666666666667,0.05708992257184502,10,3.5384700606858845
mistral,example,1,20,0,10,0
mistral,example,2,15.333333333333332,0.03220305943597653,10,1.9959663026918768
mistral,example,3,5.666666666666666,0.027442420078285488,10,1.70089881830856
mistral,example,4,19,0.022498285257018434,10,1.394458167263154
mistral,example,5,17.333333333333336,0.021081851067789203,10,1.306666666666667
mistral,example,6,9.333333333333334,0.03442651863295482,10,2.133777731491124
mistral,example,7,1.6666666666666667,0.023570226039551584,10,1.4608977452998626
mistral,example,8,1.3333333333333333,0.01721325931647741,10,1.066888865745562
mistral,example,9,1,0.016101529717988266,10,0.9979831513459384
mistral,example,10,7.333333333333333,0.0210818510677892,10,1.3066666666666669
mistral,example,11,2,0.02810913475705226,10,1.742222222222222
mistral,low-numeric,1,20,0,10,0
mistral,low-numeric,2,18.666666666666668,0.02330686329267004,10,1.4445743531325745
mistral,low-numeric,3,8.333333333333334,0.028327886186626586,10,1.7557805762961287
mistral,low-numeric,4,18.666666666666668,0.02330686329267004,10,1.4445743531325745
mistral,low-numeric,5,18,0.02330686329267004,10,1.4445743531325745
mistral,low-numeric,6,3,0.033147630867058436,10,2.0545114465367713
mistral,low-numeric,7,0.6666666666666666,0.01405456737852613,10,0.871111111111111
mistral,low-numeric,8,0.3333333333333333,0.010540925533894597,10,0.6533333333333332
