variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_base_modelmistral:anchor_num_high,0.03704050171117938,0.03492885710634774,0.6554885616956553,0.6625032636711747,-1.028736518334027,1.116030643765393,1.0005455859194419,12474.275360526171,6408.715891297284
b_base_modelphi4:anchor_num_high,0.06766496526760822,0.06525554467201543,0.6732513927516152,0.6803848232676286,-1.0167105736915591,1.1787918977224439,1.0000573687998764,12280.36959729973,5997.354578785411
b_base_modelgemma3:anchor_num_low,0.06901250216989609,0.0688420555149209,0.6563009881626153,0.6547179982171184,-1.0020727906405458,1.1516500521646544,0.9998662314752927,12674.584292615287,5555.7749476736
b_base_modelllama:anchor_num_low,0.12809816003035485,0.12913691685461062,0.3522253145368125,0.34654782737762274,-0.45471349995760235,0.7044924899702315,1.0004529227327448,12181.037237989514,6046.538412128202
b_base_modelmistral:anchor_num_low,0.019570419352004743,0.01084232857879094,0.6788462748738165,0.6778867527793989,-1.0952619602352758,1.140554869260913,1.0001136278672587,13381.130586602443,5752.442045447874
b_base_modelphi4:anchor_num_low,0.06349613361210944,0.05050765354227374,0.673139714676992,0.6740470781532921,-1.0225009528176827,1.1837226327497488,1.001220350887526,12632.005167929088,5859.050458508925
disc,1,1,0,0,1,1,NA,NA,NA
Intercept_1[1],-5.522422923550059,-5.441507700300105,0.8255471396656889,0.8072489761748212,-7.023819008619203,-4.322079600017816,1.0003218691383153,7625.590093201391,5609.594117459074
Intercept_1[2],-4.851882694864749,-4.802996414132882,0.6175332698029661,0.6113995507405765,-5.9344404272002365,-3.933660910256581,1.0010562689044347,9164.155556080357,6697.603545575557
Intercept_1[3],5.6764174590503105,5.593983277587351,0.8571921525687539,0.8336039518254268,4.427040396298742,7.200808018902205,1.0005455951552842,9941.030163517731,6843.093330182572
Intercept_2[1],-4.092609380647555,-4.066773196299169,0.4643951379726887,0.4668842553875351,-4.874608481184126,-3.3777593032311373,1.0001403171997263,5872.0855142109285,5822.797942246496
Intercept_2[2],-2.292793182058089,-2.2879601903708195,0.23254312589493592,0.23261528406071819,-2.686699530087435,-1.9214753203756163,0.9998821095876054,9258.261132529007,6362.436961665209
Intercept_2[3],1.0829474479327972,1.0808111880834608,0.16830290823913055,0.16645710068168068,0.8111785625868473,1.3683250822344266,1.0004771803434342,8462.184377571408,5509.083290479908
Intercept_3[1],-5.5115514552722615,-5.423711151735178,0.8391502398028984,0.8245526453396135,-7.034406777020271,-4.2993385080385815,1.0001131659103981,7029.319563235042,5247.90879796093
Intercept_3[2],-4.843036209685028,-4.793669775507677,0.6287463485498622,0.6153540420647595,-5.950114713679525,-3.882311112153527,1.00020577871718,9294.416679853304,7051.855529685676
Intercept_3[3],5.136525964302782,5.079828736938368,0.6985660475682319,0.6869628126165348,4.094124460954783,6.355300419817663,1.0001455883339623,10528.413264704703,6713.541043031334
Intercept_4[1],-5.513439467527402,-5.436333922454274,0.8270558425050406,0.8037887123770181,-7.002636144753315,-4.313525302627206,1.0003724728305194,7562.970117195315,4931.272106906701
Intercept_4[2],-4.8531909509990525,-4.815348877190422,0.6188848022414993,0.612788246309299,-5.937473518503218,-3.914614055538038,1.000063887773106,9227.49144857835,6900.670153233077
Intercept_4[3],5.669856193031663,5.5857667013945775,0.8499233770624718,0.8305876672771637,4.425420559941929,7.170641538351385,0.9999049667912747,10628.176287575008,7208.976310632478
lprior,-70.6335842660764,-70.37563226620313,4.443977328194364,4.449358913691741,-78.38580646990633,-63.833889470513526,1.0000392744202724,5800.018027892753,6037.883012994398
lp__,-322.4052031181485,-322.06917979606453,3.74579362339756,3.644645447230868,-329.1078002930834,-316.9016590384122,1.0004709210213933,3683.7033415302044,5066.883317349173
