base_model,dc_solution,comparison,n_observed,observed_median,predicted_median,predicted_l95,predicted_u95,observed_within_predictive_95
phi4,DC-DC converter,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,DC-DC converter,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,DC-DC converter,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,DC-DC converter,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,LVAC-LVDC interlink converter,CONTEXT,150,4,4,4,4,TRUE
phi4,LVAC-LVDC interlink converter,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,LVAC-LVDC interlink converter,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,LVAC-LVDC interlink converter,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,LVAC-LVDC interlink converter,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,Network design tool for DC solutions,CONTEXT,150,4,4,4,4,TRUE
phi4,Network design tool for DC solutions,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,Network design tool for DC solutions,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,Network design tool for DC solutions,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,Network design tool for DC solutions,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,Protection DC system design tool,CONTEXT,150,4,4,4,4,TRUE
phi4,Protection DC system design tool,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,Protection DC system design tool,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,Protection DC system design tool,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,Protection DC system design tool,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,Semiconductor-based circuit breaker,CONTEXT,150,4,4,4,4,TRUE
phi4,Semiconductor-based circuit breaker,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,Semiconductor-based circuit breaker,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,Semiconductor-based circuit breaker,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,Semiconductor-based circuit breaker,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,Smart and sustainable DC cables,CONTEXT,150,4,4,4,4,TRUE
phi4,Smart and sustainable DC cables,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,Smart and sustainable DC cables,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,Smart and sustainable DC cables,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,Smart and sustainable DC cables,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,Solid-state circuit breaker,CONTEXT,150,4,4,4,4,TRUE
phi4,Solid-state circuit breaker,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,Solid-state circuit breaker,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,Solid-state circuit breaker,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,Solid-state circuit breaker,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
phi4,Static protection system,CONTEXT,150,4,4,4,4,TRUE
phi4,Static protection system,ANCHOR_EXAMPLE,30,4,4,4,4,TRUE
phi4,Static protection system,ANCHOR_WORD,30,4,4,4,4,TRUE
phi4,Static protection system,ANCHOR_NUM_HIGH,30,4,4,4,4,TRUE
phi4,Static protection system,ANCHOR_NUM_LOW,30,4,4,4,4,TRUE
